symbol,name,market,industry
2032.TW,新鋼,TW,鋼鐵工業
2033.TW,佳大,TW,鋼鐵工業
2034.TW,允強,TW,鋼鐵工業
2038.TW,海光,TW,鋼鐵工業
2049.TW,上銀,TW,電機機械
2059.TW,川湖,TW,電子零組件業
2069.TW,運錩,TW,鋼鐵工業
2115.TW,六暉-KY,TW,汽車工業
2201.TW,裕隆,TW,汽車工業
2204.TW,中華,TW,汽車工業
2206.TW,三陽工業,TW,汽車工業
2207.TW,和泰車,TW,汽車工業
2208.TW,台船,TW,航運業
2211.TW,長榮鋼,TW,鋼鐵工業
2227.TW,裕日車,TW,汽車工業
2228.TW,劍麟,TW,汽車工業
2231.TW,為升,TW,汽車工業
2233.TW,宇隆,TW,汽車工業
2236.TW,百達-KY,TW,汽車工業
2237.TW,華德動能-創,TW,汽車工業
2239.TW,英利-KY,TW,汽車工業
2241.TW,艾姆勒,TW,汽車工業
2243.TW,宏旭-KY,TW,汽車工業
2247.TW,汎德永業,TW,汽車工業
2248.TW,華勝-KY,TW,汽車工業
2250.TW,IKKA-KY,TW,汽車工業
2254.TW,巨鎧精密-創,TW,汽車工業
2258.TW,鴻華先進-創,TW,汽車工業
2301.TW,光寶科,TW,電腦及週邊設備業
2302.TW,麗正,TW,半導體業
2303.TW,聯電,TW,半導體業
2305.TW,全友,TW,電腦及週邊設備業
2308.TW,台達電,TW,電子零組件業
2312.TW,金寶,TW,其他電子業
2313.TW,華通,TW,電子零組件業
2314.TW,台揚,TW,通信網路業
2316.TW,楠梓電,TW,電子零組件業
2317.TW,鴻海,TW,其他電子業
2321.TW,東訊,TW,通信網路業
2323.TW,中環,TW,光電業
2324.TW,仁寶,TW,電腦及週邊設備業
2327.TW,國巨*,TW,電子零組件業
2328.TW,廣宇,TW,電子零組件業
2329.TW,華泰,TW,半導體業
2330.TW,台積電,TW,半導體業
2331.TW,精英,TW,電腦及週邊設備業
2332.TW,友訊,TW,通信網路業
2337.TW,旺宏,TW,半導體業
2338.TW,光罩,TW,半導體業
